id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
160,-2586,1.697370172,,,84755.99404,84.75599404,156.3588341,9.355670112
161,-2587,1.697370172,,,85392.43889,85.39243889,156.3510214,9.347857443
162,-2588,1.697370172,,,86028.88856,86.02888856,156.3432087,9.340044775
163,-2586,1.697370172,,,86405.68635,86.40568635,156.3432087,9.332232107
164,-2587,1.697370172,,,87042.14367,87.04214367,156.3353961,9.324419439
165,-2584,1.693852663,,,87678.60579,87.67860579,156.3275834,9.316606771
166,-2578,1.693852663,,,88055.41094,88.05541094,156.3275834,9.308794103
167,-2571,1.693852663,,,88691.8807,88.6918807,156.3197707,9.300981435
168,-2576,1.693852663,,,89328.35524,89.32835524,156.311958,9.293168766
169,-2577,1.693852663,,,89964.83456,89.96483456,156.3041454,9.285356098
170,-2574,1.693852663,,,90341.6499,90.3416499,156.3041454,9.27754343
171,-2577,1.693852663,,,90978.13683,90.97813683,156.2963327,9.269730762
172,-2573,1.693852663,,,91614.62853,91.61462853,156.28852,9.261918094
173,-2569,1.693852663,,,91991.45119,91.99145119,156.28852,9.254105426
174,-2570,1.791599751,,,92627.95048,92.62795048,156.2807074,9.246292757
175,-2572,1.791599751,,,93264.45453,93.26445453,156.2728947,9.238480089
176,-2567,1.791599751,,,93641.28449,93.64128449,156.2728947,9.230667421
177,-2565,1.791599751,,,94277.79611,94.27779611,156.265082,9.222854753
178,-2563,1.751640439,,,94914.31248,94.91431248,156.2572694,9.215042085
179,-2557,1.751640439,,,95550.83359,95.55083359,156.2494567,9.207229417
180,-2557,1.751640439,,,95927.67364,95.92767364,156.2494567,9.199416749
181,-2561,1.751640439,,,96564.2023,96.5642023,156.241644,9.19160408
182,-2563,1.751640439,,,97200.73568,97.20073568,156.2338314,9.183791412
183,-2559,1.751640439,,,97577.583,97.577583,156.2338314,9.175978744
184,-2562,1.751640439,,,98214.1239,98.2141239,156.2260187,9.168166076
185,-2565,1.751640439,,,98850.66953,98.85066953,156.218206,9.160353408
186,-2561,1.751640439,,,99227.52408,99.22752408,156.218206,9.15254074
187,-2564,1.751640439,,,99864.07722,99.86407722,156.2103934,9.144728072
188,-2570,1.751640439,,,100500.6351,100.5006351,156.2025807,9.136915403
189,-2576,1.751640439,,,101137.1976,101.1371976,156.194768,9.129102735
190,-2568,1.751640439,,,101514.0622,101.5140622,156.194768,9.121290067
191,-2568,1.690763354,,,102150.6322,102.1506322,156.1869554,9.113477399
192,-2561,1.685860157,,,102787.2069,102.7872069,156.1791427,9.105664731
193,-2555,1.685860157,,,103164.0786,103.1640786,156.1791427,9.097852063
194,-2557,1.685860157,,,103869.2555,103.8692555,156.17133,9.090039394
195,-2557,1.685860157,,,103869.2555,103.8692555,156.17133,9.090039394
196,-2561,1.685860157,,,104287.0116,104.2870116,156.1635174,9.090039394
197,-2553,1.685860157,,,104891.119,104.891119,156.1557047,9.082226726
198,-2558,1.685860157,,,105308.8819,105.3088819,156.147892,9.082226726
199,-2544,1.685860157,,,105912.9992,105.9129992,156.1400793,9.074414058
200,-2550,1.685860157,,,106330.7689,106.3307689,156.1322667,9.074414058
201,-2545,1.685860157,,,106934.8959,106.9348959,156.124454,9.06660139
202,-2554,1.685860157,,,107352.6724,107.3526724,156.1166413,9.06660139
203,-2554,1.685860157,,,107956.8092,107.9568092,156.1088287,9.058788722
204,-2570,1.685860157,,,108374.5924,108.3745924,156.101016,9.058788722
205,-2559,1.685860157,,,108978.7391,108.9787391,156.0932033,9.050976054
206,-2565,1.72434628,,,109396.529,109.396529,156.0853907,9.050976054
207,-2569,1.72434628,,,109814.3217,109.8143217,156.077578,9.050976054
208,-2568,1.72434628,,,110418.4821,110.4184821,156.0697653,9.043163386
209,-2573,1.72434628,,,110836.2816,110.8362816,156.0619527,9.043163386
210,-2572,1.72434628,,,111440.4518,111.4404518,156.05414,9.035350717
211,-2577,1.72434628,,,111858.258,111.858258,156.0463273,9.035350717
212,-2571,1.72434628,,,112462.4379,112.4624379,156.0385147,9.027538049
213,-2579,1.72434628,,,112880.2509,112.8802509,156.030702,9.027538049
214,-2575,1.750717163,,,113484.4406,113.4844406,156.0228893,9.019725381
215,-2578,1.750717163,,,113902.2603,113.9022603,156.0150767,9.019725381
216,-2583,1.750717163,,,114320.0827,114.3200827,156.007264,9.019725381
217,-2581,1.750717163,,,114924.2861,114.9242861,155.9994513,9.011912713
218,-2586,1.750717163,,,115342.1153,115.3421153,155.9916387,9.011912713
219,-2585,1.689364552,,,115946.3284,115.9463284,155.983826,9.004100045
220,-2590,1.689364552,,,116364.1643,116.3641643,155.9760133,9.004100045
221,-2584,1.689364552,,,116968.3871,116.9683871,155.9682006,8.996287377
222,-2596,1.689364552,,,117386.2298,117.3862298,155.960388,8.996287377
223,-2602,1.689364552,,,117990.4623,117.9904623,155.9525753,8.988474708
224,-2603,1.689364552,,,118408.3116,118.4083116,155.9447626,8.988474708
225,-2593,1.689364552,,,119012.5539,119.0125539,155.93695,8.98066204
226,-2590,1.689364552,,,119430.4099,119.4304099,155.9291373,8.98066204
227,-2590,1.689364552,,,119430.4099,119.4304099,155.9291373,8.98066204
228,-2587,1.689364552,,,119938.439,119.938439,155.9291373,8.972849372
229,-2584,1.689364552,,,120392.9745,120.3929745,155.9291373,8.965036704
230,-2581,1.689364552,,,120847.5098,120.8475098,155.9291373,8.957224036
231,-2575,1.689364552,,,121357.0268,121.3570268,155.9213246,8.949411368
