id,Elevation,dist_m,dist_km,RMSh,RMSs,pc,pc_pn,pn
236,-2644,135205,135.205,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
237,-2645,135599,135.599,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
238,-2644,136226,136.226,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
239,-2644,136620,136.62,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
240,-2644,137247,137.247,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
241,-2645,137641,137.641,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
242,-2645,138269,138.269,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
243,-2644,138896,138.896,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
244,-2644,139290,139.29,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
245,-2643,139917,139.917,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
246,-2644,140311,140.311,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
247,-2644,140938,140.938,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
248,-2644,141566,141.566,1.662457943,1.148215294,67.25370026,0.66429919,66.58940125
249,-2645,141960,141.96,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
250,-2645,142587,142.587,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
251,-2644,142981,142.981,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
252,-2644,143608,143.608,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
253,-2643,144235,144.235,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
254,-2643,144629,144.629,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
255,-2643,145257,145.257,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
256,-2643,145651,145.651,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
257,-2643,146278,146.278,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
258,-2643,146905,146.905,1.621145248,0.982293963,67.67592621,0.207780898,67.46814728
