Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
183653.6,454383.9,32.186,7.7449003,162.1252002
183597.5,454811.8,32.054,7.7521991,162.1243001
183529.1,455316.0,32.000,7.7607997,162.1232004
183473.0,455744.0,31.397,7.7681003,162.1223003
183410.5,456242.3,31.507,7.7765997,162.1213003
183354.4,456670.3,30.416,7.7839002,162.1204002
183298.3,457098.3,30.445,7.7912008,162.1195002
183229.9,457596.5,30.753,7.7996992,162.1183999
183173.8,458024.5,31.538,7.8069998,162.1174999
183117.7,458452.5,31.159,7.8143004,162.1166000
183055.2,458950.8,30.501,7.8227998,162.1156000
182999.0,459384.7,30.565,7.8302010,162.1146992
182942.9,459812.6,30.443,7.8374999,162.1137992
182880.4,460310.9,30.660,7.8459993,162.1127994
182824.3,460738.9,29.876,7.8532999,162.1118995
182755.9,461237.2,29.857,7.8618001,162.1107994
182699.8,461665.2,30.092,7.8691008,162.1098996
182643.7,462093.1,29.913,7.8763997,162.1089997
182581.2,462591.4,29.899,7.8848992,162.1080000
182525.1,463019.4,29.525,7.8921999,162.1071002
182469.0,463447.4,29.948,7.8995005,162.1062005
182400.5,463951.5,29.784,7.9080996,162.1050995
182344.4,464379.5,29.515,7.9154003,162.1041998
182281.9,464877.8,29.444,7.9238998,162.1032002
182225.8,465305.8,30.129,7.9312005,162.1023005
182169.7,465733.7,29.565,7.9384995,162.1014008
182107.1,466232.1,29.774,7.9470007,162.1003996
182051.0,466660.0,29.676,7.9542997,162.0995000
181994.9,467088.0,29.695,7.9616005,162.0986004
181926.4,467592.1,30.021,7.9701996,162.0974996
181870.3,468020.1,26.592,7.9775004,162.0966000
181807.8,468518.4,28.452,7.9859999,162.0956006
181751.6,468946.4,29.483,7.9933007,162.0946993
181695.5,469374.3,29.272,8.0005997,162.0937998
181627.1,469872.6,28.673,8.0091001,162.0927001
181571.0,470300.6,29.877,8.0164008,162.0918006
181514.8,470728.5,29.380,8.0236999,162.0908994
181452.3,471226.8,26.911,8.0321995,162.0899001
181396.1,471660.7,28.531,8.0396009,162.0889997
181340.0,472088.6,29.529,8.0469000,162.0881003
181271.6,472586.9,33.233,8.0554004,162.0870007
181215.4,473014.8,32.692,8.0626995,162.0860996
181152.9,473513.2,29.609,8.0712008,162.0851004
181096.7,473941.1,30.085,8.0785000,162.0841994
181040.6,474369.1,34.078,8.0858008,162.0833001
180978.0,474867.4,34.337,8.0943005,162.0822992
180921.9,475295.3,37.349,8.1015996,162.0813999
180865.8,475723.3,33.894,8.1089004,162.0805007
180797.3,476227.4,35.149,8.1174997,162.0794003
180741.1,476655.4,34.260,8.1248006,162.0784993
180678.6,477153.7,33.764,8.1333003,162.0775003
180622.4,477581.6,31.958,8.1405995,162.0765994
180566.3,478009.6,33.809,8.1479004,162.0757002
180497.8,478507.8,27.910,8.1563992,162.0745991
180441.7,478935.8,27.503,8.1637001,162.0737000
180385.5,479363.8,26.293,8.1710010,162.0727992
172815.1,537157.1,45.311,9.1568997,161.9516003
172758.8,537585.0,40.027,9.1641997,161.9506995
172702.6,538012.9,26.345,9.1714996,161.9498005
172634.0,538511.1,44.141,9.1799993,161.9486997
172577.8,538939.1,43.542,9.1873010,161.9478007
172515.1,539437.3,44.727,9.1957999,161.9468006
172458.8,539865.2,44.771,9.2030998,161.9458998
172402.5,540293.1,44.899,9.2103998,161.9449991
172334.0,540797.2,45.415,9.2190001,161.9439009
172277.7,541225.1,44.055,9.2263001,161.9430002
172221.4,541653.0,45.676,9.2336000,161.9420995
172158.7,542151.3,47.639,9.2421007,161.9410996
172102.5,542579.2,44.576,9.2494006,161.9402006
172033.9,543077.4,45.494,9.2579004,161.9390999
171977.6,543505.3,42.572,9.2652004,161.9381993
171921.4,543933.2,39.336,9.2725004,161.9373003
171858.7,544431.4,39.762,9.2809994,161.9363004
171802.4,544859.3,38.471,9.2882994,161.9353998
171746.1,545287.3,37.693,9.2956011,161.9344992
171677.6,545785.4,35.110,9.3040992,161.9334003
171621.3,546213.4,34.599,9.3114009,161.9324997
171558.6,546717.5,35.350,9.3200004,161.9315006
171502.3,547145.4,31.853,9.3273005,161.9306001
171446.0,547573.3,31.901,9.3346005,161.9296995
171377.5,548071.5,29.217,9.3431004,161.9286006
171321.2,548499.4,41.257,9.3504004,161.9277001
171264.9,548927.3,38.330,9.3577005,161.9267996
171202.2,549425.5,33.761,9.3661995,161.9257998
171145.9,549853.4,35.396,9.3734996,161.9248993
171089.7,550281.3,36.650,9.3807996,161.9240005
171021.1,550779.5,38.766,9.3892995,161.9229000
170964.8,551207.4,39.641,9.3965996,161.9219995
170902.1,551705.7,38.270,9.4051003,161.9209997
170845.8,552133.6,39.282,9.4124004,161.9200993
170789.6,552561.5,40.031,9.4197005,161.9192005
170721.0,553065.6,38.525,9.4283009,161.9181009
170664.7,553493.4,40.922,9.4355993,161.9172004
170608.4,553921.3,41.587,9.4428994,161.9163000
170545.7,554419.6,42.663,9.4514002,161.9153004
170489.4,554847.5,42.896,9.4587003,161.9143999
170420.8,555345.7,43.583,9.4672002,161.9132995
170364.5,555773.6,44.762,9.4745004,161.9123991
170308.3,556201.5,45.112,9.4818005,161.9115004
170245.5,556699.8,46.099,9.4903013,161.9104991
170189.3,557127.6,47.571,9.4975997,161.9096005
170133.0,557555.5,47.586,9.5048999,161.9087001
170064.4,558053.7,48.079,9.5133998,161.9075997
170008.1,558481.6,48.173,9.5207000,161.9066994
169945.4,558985.8,50.154,9.5293013,161.9057007
169889.1,559413.6,49.554,9.5365998,161.9048003
169832.8,559841.5,49.815,9.5439000,161.9039000
169764.2,560339.7,50.712,9.5524000,161.9027997
169707.9,560767.6,50.775,9.5597001,161.9018994
169651.7,561195.5,55.354,9.5670003,161.9010008
169588.9,561693.8,51.125,9.5755012,161.8999996
169532.6,562121.6,53.414,9.5827997,161.8990993
169464.1,562619.8,52.640,9.5912996,161.8980007
169407.8,563047.7,53.684,9.5985999,161.8971005
169351.5,563475.6,54.907,9.6059001,161.8962002
169288.8,563973.9,54.092,9.6144009,161.8952008
169232.5,564401.8,55.068,9.6217011,161.8943005
169176.2,564829.6,55.207,9.6289997,161.8934003
169107.6,565327.8,58.198,9.6374997,161.8923001
169051.3,565755.7,56.595,9.6447999,161.8913998
168988.5,566259.8,57.658,9.6533997,161.8903996
168932.2,566687.7,58.955,9.6606999,161.8894994
168876.0,567115.6,55.756,9.6680001,161.8886009
168807.4,567613.8,60.531,9.6765002,161.8875007
168751.1,568041.7,61.227,9.6838004,161.8866005
168694.8,568469.6,63.204,9.6911007,161.8857004
168632.0,568967.8,60.798,9.6995999,161.8846993
168575.8,569395.7,57.119,9.7069002,161.8838009
168507.2,569893.9,61.108,9.7154003,161.8827007
168450.9,570321.8,62.066,9.7227005,161.8818005
168394.6,570749.6,62.852,9.7299991,161.8809004
168331.8,571247.9,58.616,9.7385001,161.8798994
168275.5,571675.8,64.158,9.7458004,161.8789993
168219.3,572103.7,62.759,9.7531006,161.8781009
168150.6,572607.8,63.044,9.7617013,161.8769999
168094.3,573035.6,63.153,9.7689999,161.8760998
168031.6,573533.9,62.666,9.7775009,161.8751005
167975.3,573961.8,63.363,9.7848012,161.8742005
167919.0,574389.6,63.373,9.7920998,161.8733004
167850.4,574887.8,63.022,9.8005999,161.8722003
167794.1,575315.7,62.839,9.8079002,161.8713002
167737.8,575743.6,62.890,9.8152005,161.8704002
167675.0,576241.8,63.065,9.8236998,161.8693992
167618.8,576669.7,63.238,9.8310002,161.8685009
167550.2,577167.9,62.961,9.8395003,161.8674008
167493.9,577595.8,62.860,9.8468007,161.8665008
167437.6,578023.6,62.886,9.8540993,161.8656008
167374.8,578521.9,62.874,9.8626003,161.8645999
167318.5,578949.8,64.569,9.8699007,161.8636999
167262.2,579377.6,62.375,9.8771993,161.8627999
167193.6,579875.8,62.803,9.8856995,161.8616998
