id,point_id,Elevation,dist_m,dist_km,Sub_1_Thic,Depth,RMSh
1777,1777,-2812,885766.7307,885.7667307,27.33,-2839.33,1.718181252
1778,1778,-2813,886405.82,886.40582,27.33,-2840.33,1.718181252
1779,1779,-2814,887044.9138,887.0449138,28.199,-2842.199,1.718181252
1780,1780,-2814,887424.6373,887.4246373,28.199,-2842.199,1.718181252
1781,1781,-2814,888063.7384,888.0637384,29.216,-2843.216,1.718181252
1782,1782,-2814,888702.844,888.702844,29.18,-2843.18,1.718181252
1783,1783,-2815,889341.9541,889.3419541,27.882,-2842.882,1.718181252
1784,1784,-2815,889721.6872,889.7216872,27.882,-2842.882,1.474299312
1785,1785,-2816,890360.8046,890.3608046,27.882,-2843.882,1.474299312
1786,1786,-2817,890999.9264,890.9999264,27.117,-2844.117,1.474299312
1787,1787,-2817,891379.6665,891.3796665,27.117,-2844.117,1.474299312
1788,1788,-2817,892018.7954,892.0187954,28.755,-2845.755,1.474299312
1789,1789,-2817,892657.9289,892.6579289,26.866,-2843.866,1.474299312
1790,1790,-2818,893037.6759,893.0376759,38.597,-2856.597,1.474299312
1791,1791,-2818,893676.8166,893.6768166,38.597,-2856.597,1.474299312
1792,1792,-2819,894315.9617,894.3159617,35.638,-2854.638,1.474299312
1793,1793,-2820,894695.7156,894.6957156,35.638,-2855.638,1.474299312
1794,1794,-2820,895334.8679,895.3348679,38.385,-2858.385,1.827960849
1795,1795,-2821,895974.0246,895.9740246,24.268,-2845.268,1.827960849
1796,1796,-2821,896353.7854,896.3537854,24.268,-2845.268,1.827960849
1797,1797,-2821,896992.9493,896.9929493,29.204,-2850.204,0.623934329
1798,1798,-2822,897632.1175,897.6321175,29.204,-2851.204,0.623934329
1799,1799,-2822,898011.8852,898.0118852,29.204,-2851.204,0.623934329
1800,1800,-2823,898651.0606,898.6510606,29.009,-2852.009,0.623934329
1801,1801,-2823,899290.2404,899.2902404,28.682,-2851.682,0.623934329
1802,1802,-2824,899929.4247,899.9294247,29.172,-2853.172,0.623934329
1803,1803,-2824,900309.2019,900.3092019,,,0.623934329
1804,1804,-2824,900948.3932,900.9483932,,,0.623934329
1805,1805,-2825,901587.5889,901.5875889,,,0.623934329
1806,1806,-2825,901967.3729,901.9673729,,,0.623934329
1807,1807,-2826,902606.5757,902.6065757,,,0.623934329
1808,1808,-2826,903245.7829,903.2457829,,,0.623934329
1809,1809,-2826,903625.5737,903.6255737,77.81,-2903.81,0.623934329
1810,1810,-2827,904264.788,904.264788,77.598,-2904.598,1.286273599
1811,1811,-2828,904904.0066,904.9040066,76.851,-2904.851,1.580496788
1812,1812,-2828,905283.8042,905.2838042,76.851,-2904.851,1.580496788
1813,1813,-2827,905923.0298,905.9230298,74.641,-2901.641,1.580496788
1814,1814,-2827,906562.2599,906.5622599,74.695,-2901.695,1.580496788
1815,1815,-2827,906942.0642,906.9420642,74.695,-2901.695,1.580496788
1816,1816,-2827,907581.3012,907.5813012,74.695,-2901.695,1.580496788
1817,1817,-2827,908220.5426,908.2205426,73.551,-2900.551,1.580496788
1818,1818,-2828,908859.7883,908.8597883,73.769,-2901.769,1.580496788
1819,1819,-2829,909239.602,909.239602,73.769,-2902.769,1.580496788
1820,1820,-2829,909878.8547,909.8788547,72.725,-2901.725,1.580496788
1821,1821,-2830,910518.1118,910.5181118,72.731,-2902.731,1.580496788
1822,1822,-2831,910897.9322,910.8979322,72.731,-2903.731,1.580496788
1823,1823,-2831,911537.1962,911.5371962,73.305,-2904.305,1.208243608
1824,1824,-2832,912176.4645,912.1764645,,,1.208243608
1825,1825,-2832,912556.2916,912.5562916,,,1.208243608
1826,1826,-2831,913195.5669,913.1955669,,,1.208243608
1827,1827,-2831,913834.8465,913.8348465,,,1.208243608
1828,1828,-2832,914214.6802,914.2146802,,,1.208243608
1829,1829,-2832,914853.9667,914.8539667,36.816,-2868.816,1.208243608
1830,1830,-2832,915493.2575,915.4932575,37.241,-2869.241,1.783040881
1831,1831,-2833,915873.098,915.873098,37.241,-2870.241,1.783040881
1832,1832,-2833,916512.3956,916.5123956,38.034,-2871.034,1.783040881
1833,1833,-2834,917151.6976,917.1516976,35.453,-2869.453,1.783040881
1834,1834,-2834,917531.5447,917.5315447,38.034,-2872.034,1.783040881
1835,1835,-2834,918170.8535,918.1708535,35.453,-2869.453,1.764752865
1836,1836,-2834,918810.1667,918.8101667,36.417,-2870.417,1.764752865
1837,1837,-2834,919449.4841,919.4494841,36.696,-2870.696,1.764752865
1838,1838,-2834,919829.3403,919.8293403,37.14,-2871.14,1.764752865
1839,1839,-2834,920468.6646,920.4686646,36.8,-2870.8,1.764752865
1840,1840,-2834,921107.9931,921.1079931,37.633,-2871.633,1.764752865
1841,1841,-2835,921487.8559,921.4878559,37.633,-2872.633,1.764752865
1842,1842,-2835,922127.1912,922.1271912,34.994,-2869.994,1.764752865
1843,1843,-2835,922766.5308,922.7665308,35.341,-2870.341,1.764752865
1844,1844,-2835,923146.4002,923.1464002,35.341,-2870.341,1.764752865
1845,1845,-2836,923785.7466,923.7857466,35.535,-2871.535,1.764752865
1846,1846,-2836,924425.0972,924.4250972,35.494,-2871.494,1.764752865
1847,1847,-2836,924804.9732,924.8049732,35.494,-2871.494,1.764752865
1848,1848,-2837,925444.3306,925.4443306,33.705,-2870.705,1.699195147
1849,1849,-2837,926083.6922,926.0836922,35.889,-2872.889,1.528320789
1850,1850,-2837,926463.5747,926.4635747,33.705,-2870.705,1.528320789
1851,1851,-2837,927102.943,927.102943,,,1.528320789
1852,1852,-2837,927742.3156,927.7423156,,,1.528320789
1853,1853,-2838,928122.2046,928.1222046,38.455,-2876.455,1.528320789
1854,1854,-2838,928761.5839,928.7615839,38.455,-2876.455,1.528320789
1855,1855,-2838,929400.9675,929.4009675,38.455,-2876.455,1.528320789
1856,1856,-2839,930040.3552,930.0403552,38.455,-2877.455,1.528320789
1857,1857,-2839,930420.2532,930.4202532,38.455,-2877.455,1.528320789
1858,1858,-2839,931059.6477,931.0596477,40.227,-2879.227,1.528320789
1859,1859,-2840,931699.0463,931.6990463,48.259,-2888.259,1.528320789
1860,1860,-2840,932078.9507,932.0789507,48.259,-2888.259,1.528320789
1861,1861,-2840,932718.3561,932.7183561,34.594,-2874.594,0.935901523
1862,1862,-2841,933357.7656,933.3577656,34.909,-2875.909,0.935901523
1863,1863,-2841,933737.6764,933.7376764,34.909,-2875.909,0.935901523
1864,1864,-2841,934377.0926,934.3770926,35.336,-2876.336,0.935901523
1865,1865,-2841,935016.5129,935.0165129,35.23,-2876.23,0.935901523
1866,1866,-2842,935396.4302,935.3964302,35.23,-2877.23,0.935901523
1867,1867,-2842,936035.8572,936.0358572,34.756,-2876.756,0.935901523
1868,1868,-2842,936675.2883,936.6752883,34.776,-2876.776,0.623934329
1869,1869,-2842,937055.212,937.055212,49.098,-2891.098,0.623934329
1870,1870,-2842,937694.6497,937.6946497,49.64,-2891.64,0.623934329
1871,1871,-2842,938334.0916,938.3340916,42.975,-2884.975,0.623934329
1872,1872,-2842,938714.0217,938.7140217,41.87,-2883.87,0.623934329
1873,1873,-2843,939353.4702,939.3534702,42.975,-2885.975,0.623934329
1874,1874,-2843,939992.9228,939.9929228,43.837,-2886.837,1.018880486
1875,1875,-2844,940632.3795,940.6323795,46.357,-2890.357,1.018880486
1876,1876,-2844,941012.3185,941.0123185,30.777,-2874.777,1.018880486
1877,1877,-2844,941651.7818,941.6517818,30.98,-2874.98,1.018880486
1878,1878,-2845,942291.2492,942.2912492,30.822,-2875.822,1.018880486
1879,1879,-2845,942671.1944,942.6711944,31.127,-2876.127,1.018880486
1880,1880,-2845,943310.6684,943.3106684,31.053,-2876.053,1.018880486
1881,1881,-2846,943950.1465,943.9501465,30.766,-2876.766,1.018880486
1882,1882,-2846,944330.098,944.330098,30.766,-2876.766,1.018880486
1883,1883,-2847,944969.5826,944.9695826,31.436,-2878.436,1.018880486
1884,1884,-2847,944969.5826,944.9695826,31.436,-2878.436,1.018880486
1885,1885,-2847,945345.6051,945.3456051,31.436,-2878.436,1.018880486
1886,1886,-2848,945805.989,945.805989,31.436,-2879.436,1.018880486
1887,1887,-2848,946266.3726,946.2663726,31.436,-2879.436,1.018880486
1888,1888,-2848,946726.7558,946.7267558,31.436,-2879.436,1.689622164
1889,1889,-2849,947187.1387,947.1871387,31.171,-2880.171,1.689622164
1890,1890,-2850,947647.5212,947.6475212,,,1.689622164
1891,1891,-2850,948107.9034,948.1079034,,,1.689622164
1892,1892,-2851,948596.3837,948.5963837,,,1.689622164
