id,Elevation,dist_m,dist_km,RMSh,RMSs,pc_pn,pc,pn
159,-2617,78118,78.118,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
160,-2619,78545,78.545,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
161,-2621,78972,78.972,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
162,-2618,79564,79.564,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
163,-2617,79991,79.991,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
164,-2614,80583,80.583,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
165,-2611,81010,81.01,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
166,-2608,81437,81.437,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
167,-2605,82030,82.03,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
168,-2605,82457,82.457,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
169,-2606,82884,82.884,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
170,-2614,83476,83.476,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
171,-2612,83903,83.903,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
172,-2616,84495,84.495,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
173,-2614,84922,84.922,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
174,-2610,85349,85.349,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
175,-2611,85942,85.942,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
176,-2601,86369,86.369,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
177,-2618,86961,86.961,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
178,-2609,87388,87.388,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
179,-2608,87815,87.815,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
180,-2630,88408,88.408,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
181,-2635,88835,88.835,1.741384864,1.238195658,1.010997891,66.52639008,65.51539612
182,-2645,89262,89.262,1.685318828,1.127305031,0.937677741,67.03595734,66.09828186
183,-2661,89854,89.854,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
184,-2661,90281,90.281,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
185,-2658,90873,90.873,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
186,-2658,91300,91.3,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
187,-2651,91727,91.727,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
188,-2628,92320,92.32,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
189,-2627,92747,92.747,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
190,-2622,93339,93.339,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
191,-2617,93766,93.766,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
192,-2600,94193,94.193,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
193,-2539,94786,94.786,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
194,-2507,95213,95.213,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
195,-2512,95805,95.805,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
196,-2508,96232,96.232,1.69040966,1.109342813,0.786192119,66.95729828,66.17110443
197,-2531,96659,96.659,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
198,-2621,97251,97.251,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
199,-2648,97678,97.678,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
200,-2653,98105,98.105,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
201,-2654,98698,98.698,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
202,-2652,99125,99.125,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
203,-2649,99717,99.717,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
204,-2649,100144,100.144,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
205,-2655,100571,100.571,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
206,-2656,101164,101.164,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
207,-2659,101591,101.591,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
208,-2660,102183,102.183,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
209,-2662,102610,102.61,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
210,-2663,103037,103.037,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
211,-2664,103630,103.63,1.692602515,1.112874985,0.734786987,66.88889313,66.15410614
212,-2665,104057,104.057,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
213,-2665,104484,104.484,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
214,-2666,105076,105.076,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
215,-2666,105503,105.503,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
216,-2667,106095,106.095,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
217,-2667,106522,106.522,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
218,-2667,106950,106.95,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
219,-2668,107542,107.542,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
220,-2667,107969,107.969,1.66293335,1.077472329,0.95714879,67.13298798,66.17584229
221,-2666,108561,108.561,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
222,-2666,108988,108.988,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
223,-2665,109415,109.415,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
224,-2662,110008,110.008,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
225,-2659,110435,110.435,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
226,-2651,111027,111.027,1.675571442,1.327675462,0.900259733,66.19602966,65.29576874
227,-2647,111454,111.454,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
228,-2644,111881,111.881,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
229,-2645,112474,112.474,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
230,-2645,112901,112.901,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
231,-2645,113328,113.328,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
232,-2646,113920,113.92,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
233,-2646,114347,114.347,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
234,-2645,114940,114.94,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
235,-2645,115367,115.367,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
236,-2645,115794,115.794,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
237,-2645,116386,116.386,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
238,-2645,116813,116.813,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
239,-2645,117406,117.406,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
240,-2645,117833,117.833,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
241,-2645,118260,118.26,1.680524468,1.069048047,0.839236677,67.05957794,66.22034454
242,-2645,118852,118.852,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
243,-2645,119279,119.279,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
244,-2645,119706,119.706,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
245,-2645,120299,120.299,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
246,-2645,120726,120.726,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
247,-2644,121318,121.318,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
248,-2644,121746,121.746,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
249,-2644,122173,122.173,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
250,-2644,122765,122.765,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
251,-2644,123192,123.192,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
252,-2644,123785,123.785,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
253,-2643,124212,124.212,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
254,-2643,124639,124.639,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
255,-2643,125231,125.231,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
256,-2643,125658,125.658,1.660011649,1.097291827,1.442451715,67.35488129,65.91242981
257,-2643,126251,126.251,1.619129896,1.092111468,1.795130968,67.77076721,65.97563934
258,-2643,126678,126.678,1.619129896,1.092111468,1.795130968,67.77076721,65.97563934
259,-2642,127105,127.105,1.619129896,1.092111468,1.795130968,67.77076721,65.97563934
260,-2642,127697,127.697,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
261,-2643,128124,128.124,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
262,-2644,128551,128.551,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
263,-2644,129144,129.144,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
264,-2644,129571,129.571,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
265,-2645,130163,130.163,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
266,-2645,130590,130.59,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
267,-2645,131017,131.017,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
268,-2645,131610,131.61,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
269,-2646,132037,132.037,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
270,-2645,132630,132.63,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
271,-2645,133057,133.057,1.684392571,1.10760963,0.98025322,67.16210175,66.18185425
272,-2644,133484,133.484,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
273,-2644,134076,134.076,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
274,-2645,134503,134.503,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
275,-2645,134930,134.93,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
276,-2644,135523,135.523,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
277,-2643,135950,135.95,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
278,-2643,136542,136.542,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
279,-2642,136969,136.969,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
280,-2642,137396,137.396,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
281,-2641,137989,137.989,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
282,-2642,138416,138.416,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
283,-2641,139009,139.009,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
284,-2641,139436,139.436,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
285,-2642,139863,139.863,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
286,-2642,140455,140.455,1.687676311,1.183636189,1.5817734,67.17129517,65.58952332
287,-2642,140882,140.882,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
288,-2642,141475,141.475,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
289,-2642,141902,141.902,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
290,-2643,142329,142.329,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
291,-2644,142921,142.921,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
292,-2645,143349,143.349,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
293,-2645,143776,143.776,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
294,-2646,144368,144.368,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
295,-2648,144795,144.795,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
296,-2649,145388,145.388,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
297,-2651,145815,145.815,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
298,-2651,146242,146.242,1.690603018,1.162202358,1.364126682,67.16677856,65.80265808
299,-2652,146834,146.834,1.693435431,1.20807147,0.921588898,67.02568817,66.10409546
300,-2653,147261,147.261,1.693435431,1.20807147,0.921588898,67.02568817,66.10409546
301,-2653,147854,147.854,1.693435431,1.20807147,0.921588898,67.02568817,66.10409546
302,-2653,148281,148.281,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
303,-2652,148708,148.708,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
304,-2651,149301,149.301,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
305,-2651,149728,149.728,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
306,-2651,150155,150.155,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
307,-2651,150747,150.747,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
308,-2650,151174,151.174,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
309,-2649,151767,151.767,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
310,-2649,152194,152.194,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
311,-2649,152621,152.621,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
312,-2648,153214,153.214,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
313,-2645,153641,153.641,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
314,-2646,154233,154.233,1.679700017,1.098681688,0.607735872,67.21630859,66.60857391
